index,x_m,y_m,s_m
139,1.500000000,1.200000000,4.156039238
140,1.500000000,1.170000000,4.186039238
141,1.500000000,1.140000000,4.216039238
142,1.500000000,1.110000000,4.246039238
143,1.500000000,1.080000000,4.276039238
144,1.500000000,1.050000000,4.306039238
145,1.500000000,1.020000000,4.336039238
146,1.500000000,0.990000000,4.366039238
147,1.500000000,0.960000000,4.396039238
148,1.500000000,0.930000000,4.426039238
149,1.500000000,0.900000000,4.456039238
150,1.500000000,0.870000000,4.486039238
151,1.500000000,0.840000000,4.516039238
152,1.500000000,0.810000000,4.546039238
153,1.500000000,0.780000000,4.576039238
154,1.500000000,0.750000000,4.606039238
155,1.500000000,0.720000000,4.636039238
156,1.500000000,0.690000000,4.666039238
157,1.500000000,0.660000000,4.696039238
158,1.500000000,0.630000000,4.726039238
159,1.500000000,0.600000000,4.756039238
160,1.500000000,0.570000000,4.786039238
161,1.500000000,0.540000000,4.816039238
162,1.500000000,0.510000000,4.846039238
163,1.500000000,0.480000000,4.876039238
164,1.500000000,0.450000000,4.906039238
165,1.500000000,0.420000000,4.936039238
166,1.500000000,0.390000000,4.966039238
167,1.500000000,0.360000000,4.996039238
168,1.500000000,0.330000000,5.026039238
169,1.500000000,0.300000000,5.056039238
170,1.500000000,0.270000000,5.086039238
171,1.500000000,0.240000000,5.116039238
172,1.500000000,0.210000000,5.146039238
173,1.500000000,0.180000000,5.176039238
174,1.500000000,0.150000000,5.206039238
175,1.500000000,0.120000000,5.236039238
176,1.500000000,0.090000000,5.266039238
177,1.500000000,0.060000000,5.296039238
178,1.500000000,0.030000000,5.326039238
179,1.500000000,0.000000000,5.356039238
180,1.499407048,-0.029817386,5.385862520
181,1.497629129,-0.059587625,5.415685801
182,1.494669055,-0.089263644,5.445509083
183,1.490531506,-0.118798518,5.475332364
184,1.485223025,-0.148145548,5.505155646
185,1.478752005,-0.177258329,5.534978927
186,1.471128678,-0.206090828,5.564802209
187,1.462365099,-0.234597455,5.594625490
188,1.452475124,-0.262733136,5.624448772
189,1.441474391,-0.290453381,5.654272053
190,1.429380295,-0.317714360,5.684095335
191,1.416211960,-0.344472967,5.713918616
192,1.401990206,-0.370686891,5.743741898
193,1.386737522,-0.396314684,5.773565179
194,1.370478024,-0.421315821,5.803388461
195,1.353237424,-0.445650772,5.833211742
196,1.335042981,-0.469281057,5.863035024
197,1.315923465,-0.492169312,5.892858305
198,1.295909108,-0.514279346,5.922681587
199,1.275031556,-0.535576199,5.952504868
200,1.253323821,-0.556026196,5.982328150
201,1.230820228,-0.575597002,6.012151431
202,1.207556360,-0.594257670,6.041974713
203,1.183569000,-0.611978694,6.071797994
204,1.158896079,-0.628732055,6.101621276
205,1.133576609,-0.644491260,6.131444557
206,1.107650626,-0.659231393,6.161267839
207,1.081159124,-0.672929145,6.191091120
208,1.054143991,-0.685562859,6.220914402
209,1.026647943,-0.697112556,6.250737683
210,0.998714459,-0.707559975,6.280560965
211,0.970387706,-0.716888596,6.310384246
212,0.941712474,-0.725083669,6.340207528
213,0.912734106,-0.732132236,6.370030809
214,0.883498422,-0.738023151,6.399854091
215,0.854051649,-0.742747100,6.429677372
216,0.824440349,-0.746296613,6.459500654
217,0.794711344,-0.748666078,6.489323935
218,0.764911641,-0.749851747,6.519147217
219,0.735088359,-0.749851747,6.548970498
220,0.705288656,-0.748666078,6.578793780
221,0.675559651,-0.746296613,6.608617061
222,0.645948351,-0.742747100,6.638440343
223,0.616501578,-0.738023151,6.668263624
224,0.587265894,-0.732132236,6.698086906
225,0.558287526,-0.725083669,6.727910187
226,0.529612294,-0.716888596,6.757733469
227,0.501285541,-0.707559975,6.787556750
228,0.473352057,-0.697112556,6.817380032
229,0.445856009,-0.685562859,6.847203313
230,0.418840876,-0.672929145,6.877026595
231,0.392349374,-0.659231393,6.906849876
232,0.366423391,-0.644491260,6.936673158
233,0.341103921,-0.628732055,6.966496439
234,0.316431000,-0.611978694,6.996319721
235,0.292443640,-0.594257670,7.026143002
236,0.269179772,-0.575597002,7.055966284
237,0.246676179,-0.556026196,7.085789565
238,0.224968444,-0.535576199,7.115612847
239,0.204090892,-0.514279346,7.145436128
240,0.184076535,-0.492169312,7.175259410
241,0.164957019,-0.469281057,7.205082691
242,0.146762576,-0.445650772,7.234905973
243,0.129521976,-0.421315821,7.264729254
244,0.113262478,-0.396314684,7.294552536
245,0.098009794,-0.370686891,7.324375817
246,0.083788040,-0.344472967,7.354199099
247,0.070619705,-0.317714360,7.384022380
248,0.058525609,-0.290453381,7.413845662
249,0.047524876,-0.262733136,7.443668943
250,0.037634901,-0.234597455,7.473492225
251,0.028871322,-0.206090828,7.503315506
252,0.021247995,-0.177258329,7.533138788
253,0.014776975,-0.148145548,7.562962069
254,0.009468494,-0.118798518,7.592785351
255,0.005330945,-0.089263644,7.622608632
256,0.002370871,-0.059587625,7.652431914
257,0.000592952,-0.029817386,7.682255195
258,0.000000000,-0.000000000,7.712078477
